"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","STUDY_ID","PROLIFIC_PID","SESSION_ID","practice_rare_shape_loops","comprehension_visits","rt","view_history","shapes","occluder","options","response","rare_option","RT","confidence","confidence_RT","question_order"
"true","false","[]","[]","[]","preload","0","923","0.0-0.0","665f9ff8981f9a2e65a2cccc","65b8d3c74e8792e03f2f8a71","665fb45f88ef7a7f1ebb0a1e","1","2","","","","","","","","","","",""
"true","","","","","fullscreen","1","4715","0.0-1.0","665f9ff8981f9a2e65a2cccc","65b8d3c74e8792e03f2f8a71","665fb45f88ef7a7f1ebb0a1e","1","2","2788","","","","","","","","","",""
"","","","","","instructions","2","40951","0.0-2.0","665f9ff8981f9a2e65a2cccc","65b8d3c74e8792e03f2f8a71","665fb45f88ef7a7f1ebb0a1e","1","2","36236","[{""page_index"":0,""viewing_time"":3376},{""page_index"":1,""viewing_time"":24190},{""page_index"":2,""viewing_time"":6046},{""page_index"":3,""viewing_time"":1551},{""page_index"":4,""viewing_time"":1072}]","","","","","","","","",""
"","","","","","jsShapes","3","51578","0.0-3.0-0.0","665f9ff8981f9a2e65a2cccc","65b8d3c74e8792e03f2f8a71","665fb45f88ef7a7f1ebb0a1e","1","2","","","[0,1]","right","[1,4]","0","false","7510","1","3090",""
"","","","","","jsShapes","4","62478","0.0-3.0-0.1","665f9ff8981f9a2e65a2cccc","65b8d3c74e8792e03f2f8a71","665fb45f88ef7a7f1ebb0a1e","1","2","","","[1,0]","left","[4,0]","0","false","8556","0.9955555555555555","2324",""
"","","","","","jsShapes","5","72445","0.0-3.0-0.2","665f9ff8981f9a2e65a2cccc","65b8d3c74e8792e03f2f8a71","665fb45f88ef7a7f1ebb0a1e","1","2","","","[0,1]","left","[1,0]","1","false","7757","0.9888888888888889","2175.0000000000146",""
"","","","","","jsShapes","6","93111","0.0-3.0-0.3","665f9ff8981f9a2e65a2cccc","65b8d3c74e8792e03f2f8a71","665fb45f88ef7a7f1ebb0a1e","1","2","","","[4,3]","right","[2,1]","0","false","18581","0.9955555555555555","2067",""
"","","","","","jsShapes","7","105411","0.0-3.0-0.4","665f9ff8981f9a2e65a2cccc","65b8d3c74e8792e03f2f8a71","665fb45f88ef7a7f1ebb0a1e","1","2","","","[2,3]","right","[1,0]","1","false","10304","1","1960",""
"","","","","","jsShapes","8","120410","0.0-3.0-0.5","665f9ff8981f9a2e65a2cccc","65b8d3c74e8792e03f2f8a71","665fb45f88ef7a7f1ebb0a1e","1","2","","","[3,0]","left","[0,2]","1","false","12713","1","2252",""
"","","","","","jsShapes","9","126644","0.0-3.0-0.6","665f9ff8981f9a2e65a2cccc","65b8d3c74e8792e03f2f8a71","665fb45f88ef7a7f1ebb0a1e","1","2","","","[0,1]","left","[0,4]","0","false","4414","0.9844444444444445","1784.9999999999854",""
"","","","","","jsShapes","10","132411","0.0-3.0-0.7","665f9ff8981f9a2e65a2cccc","65b8d3c74e8792e03f2f8a71","665fb45f88ef7a7f1ebb0a1e","1","2","","","[0,1]","right","[0,1]","1","false","4054","1","1695",""
"","","","","","jsShapes","11","139944","0.0-3.0-0.8","665f9ff8981f9a2e65a2cccc","65b8d3c74e8792e03f2f8a71","665fb45f88ef7a7f1ebb0a1e","1","2","","","[1,3]","left","[0,2]","1","false","5705","0.9888888888888889","1808",""
"","","","","","jsShapes","12","147244","0.0-3.0-0.9","665f9ff8981f9a2e65a2cccc","65b8d3c74e8792e03f2f8a71","665fb45f88ef7a7f1ebb0a1e","1","2","","","[0,1]","right","[1,3]","0","false","5129","1","2149",""
"","","","","","jsShapes","13","155544","0.0-3.0-0.10","665f9ff8981f9a2e65a2cccc","65b8d3c74e8792e03f2f8a71","665fb45f88ef7a7f1ebb0a1e","1","2","","","[0,1]","left","[0,3]","0","false","6400","0.9955555555555555","1865",""
"","","","","","jsShapes","14","166244","0.0-3.0-0.11","665f9ff8981f9a2e65a2cccc","65b8d3c74e8792e03f2f8a71","665fb45f88ef7a7f1ebb0a1e","1","2","","","[4,4]","right","[1,2]","1","false","8481.00000000003","1","2182.999999999971",""
"","","","","","jsShapes","15","172744","0.0-3.0-0.12","665f9ff8981f9a2e65a2cccc","65b8d3c74e8792e03f2f8a71","665fb45f88ef7a7f1ebb0a1e","1","2","","","[0,1]","right","[0,1]","1","false","4476","0.9866666666666667","2005",""
"","","","","","jsShapes","16","182844","0.0-3.0-0.13","665f9ff8981f9a2e65a2cccc","65b8d3c74e8792e03f2f8a71","665fb45f88ef7a7f1ebb0a1e","1","2","","","[4,4]","left","[0,3]","1","false","8266","1","1815",""
"","","","","","jsShapes","17","198210","0.0-3.0-0.14","665f9ff8981f9a2e65a2cccc","65b8d3c74e8792e03f2f8a71","665fb45f88ef7a7f1ebb0a1e","1","2","","","[1,4]","right","[4,1]","0","false","13615.00000000003","0.9866666666666667","1733.999999999971",""
"","","","","","jsShapes","18","203977","0.0-3.0-0.15","665f9ff8981f9a2e65a2cccc","65b8d3c74e8792e03f2f8a71","665fb45f88ef7a7f1ebb0a1e","1","2","","","[0,1]","left","[0,3]","0","false","3852","1","1880",""
"","","","","","instructions","19","209517","0.0-4.0","665f9ff8981f9a2e65a2cccc","65b8d3c74e8792e03f2f8a71","665fb45f88ef7a7f1ebb0a1e","1","2","5538","[{""page_index"":0,""viewing_time"":5538}]","","","","","","","","",""
"","","","","","survey-multi-choice","20","230199","0.0-5.0-1.0-0.0","665f9ff8981f9a2e65a2cccc","65b8d3c74e8792e03f2f8a71","665fb45f88ef7a7f1ebb0a1e","1","2","20678","","","","","{""multichoice_rare_shape"":""3. About as likely as all other shapes.""}","","","","","[0]"
"","","","","","instructions","21","233999","0.0-5.1-0.1-0.1","665f9ff8981f9a2e65a2cccc","65b8d3c74e8792e03f2f8a71","665fb45f88ef7a7f1ebb0a1e","1","2","3796","[{""page_index"":0,""viewing_time"":3796}]","","","","","","","","",""
"","","","","","survey-multi-choice","22","237366","0.0-5.1-1.1-0.1","665f9ff8981f9a2e65a2cccc","65b8d3c74e8792e03f2f8a71","665fb45f88ef7a7f1ebb0a1e","1","2","3363","","","","","{""multichoice_rare_shape"":""2. Much less likely than all other shapes.""}","","","","","[0]"
"","","","","","instructions","23","248224","0.0-6.0","665f9ff8981f9a2e65a2cccc","65b8d3c74e8792e03f2f8a71","665fb45f88ef7a7f1ebb0a1e","1","2","10853","[{""page_index"":0,""viewing_time"":10853}]","","","","","","","","",""
"","","","","","jsShapes","24","257610","0.0-7.0-0.0","665f9ff8981f9a2e65a2cccc","65b8d3c74e8792e03f2f8a71","665fb45f88ef7a7f1ebb0a1e","1","2","","","[1,2]","left","[5,0]","0","true","7533.999999999971","1","1833.000000000029",""
"","","","","","survey-text","25","270968","0.0-8.0","665f9ff8981f9a2e65a2cccc","65b8d3c74e8792e03f2f8a71","665fb45f88ef7a7f1ebb0a1e","1","2","13353","","","","","{""worker_comments"":""""}","","","","",""
"","","","","","instructions","26","273031","0.0-9.0","665f9ff8981f9a2e65a2cccc","65b8d3c74e8792e03f2f8a71","665fb45f88ef7a7f1ebb0a1e","1","2","2062","[{""page_index"":0,""viewing_time"":2061}]","","","","","","","","",""
"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","STUDY_ID","PROLIFIC_PID","SESSION_ID","practice_rare_shape_loops","comprehension_visits","rt","view_history","shapes","occluder","options","response","rare_option","RT","confidence","confidence_RT","question_order"
"true","false","[]","[]","[]","preload","0","348","0.0-0.0","665f9ff8981f9a2e65a2cccc","6615c429a31a4c09456fec9d","665fa6c6de2c89d3d93c9f0f","0","1","","","","","","","","","","",""
"true","","","","","fullscreen","1","4227","0.0-1.0","665f9ff8981f9a2e65a2cccc","6615c429a31a4c09456fec9d","665fa6c6de2c89d3d93c9f0f","0","1","2873","","","","","","","","","",""
"","","","","","instructions","2","34952","0.0-2.0","665f9ff8981f9a2e65a2cccc","6615c429a31a4c09456fec9d","665fa6c6de2c89d3d93c9f0f","0","1","30724","[{""page_index"":0,""viewing_time"":2767},{""page_index"":1,""viewing_time"":18134},{""page_index"":2,""viewing_time"":7103},{""page_index"":3,""viewing_time"":1783},{""page_index"":4,""viewing_time"":936}]","","","","","","","","",""
"","","","","","jsShapes","3","52654","0.0-3.0-0.0","665f9ff8981f9a2e65a2cccc","6615c429a31a4c09456fec9d","665fa6c6de2c89d3d93c9f0f","0","1","","","[1,2]","left","[3,0]","1","false","15230.900000095367","1","2454",""
"","","","","","jsShapes","4","58286","0.0-3.0-0.1","665f9ff8981f9a2e65a2cccc","6615c429a31a4c09456fec9d","665fa6c6de2c89d3d93c9f0f","0","1","","","[0,1]","right","[2,1]","1","false","3649.2000000476837","1","1976.2999999523163",""
"","","","","","jsShapes","5","66069","0.0-3.0-0.2","665f9ff8981f9a2e65a2cccc","6615c429a31a4c09456fec9d","665fa6c6de2c89d3d93c9f0f","0","1","","","[2,2]","right","[1,4]","0","false","6337.799999952316","1","1435.2999999523163",""
"","","","","","jsShapes","6","69402","0.0-3.0-0.3","665f9ff8981f9a2e65a2cccc","6615c429a31a4c09456fec9d","665fa6c6de2c89d3d93c9f0f","0","1","","","[0,1]","left","[1,0]","1","false","2363.0999999046326","1","961.7999999523163",""
"","","","","","jsShapes","7","79602","0.0-3.0-0.4","665f9ff8981f9a2e65a2cccc","6615c429a31a4c09456fec9d","665fa6c6de2c89d3d93c9f0f","0","1","","","[3,0]","left","[2,0]","1","false","9048.299999952316","1","1140",""
"","","","","","jsShapes","8","84218","0.0-3.0-0.5","665f9ff8981f9a2e65a2cccc","6615c429a31a4c09456fec9d","665fa6c6de2c89d3d93c9f0f","0","1","","","[0,1]","right","[2,1]","1","false","3361.600000143051","1","1247.3999998569489",""
"","","","","","jsShapes","9","87968","0.0-3.0-0.6","665f9ff8981f9a2e65a2cccc","6615c429a31a4c09456fec9d","665fa6c6de2c89d3d93c9f0f","0","1","","","[0,1]","left","[2,0]","1","false","2239.7000000476837","1","1501.9000000953674",""
"","","","","","jsShapes","10","93018","0.0-3.0-0.7","665f9ff8981f9a2e65a2cccc","6615c429a31a4c09456fec9d","665fa6c6de2c89d3d93c9f0f","0","1","","","[2,0]","right","[1,0]","0","false","3487.899999856949","0.9907407407407407","1552.2000000476837",""
"","","","","","jsShapes","11","98917","0.0-3.0-0.8","665f9ff8981f9a2e65a2cccc","6615c429a31a4c09456fec9d","665fa6c6de2c89d3d93c9f0f","0","1","","","[1,0]","left","[1,0]","1","false","4665.799999952316","1","1223",""
"","","","","","jsShapes","12","102317","0.0-3.0-0.9","665f9ff8981f9a2e65a2cccc","6615c429a31a4c09456fec9d","665fa6c6de2c89d3d93c9f0f","0","1","","","[0,1]","left","[2,0]","1","false","2254.5999999046326","1","1130.2000000476837",""
"","","","","","jsShapes","13","105416","0.0-3.0-0.10","665f9ff8981f9a2e65a2cccc","6615c429a31a4c09456fec9d","665fa6c6de2c89d3d93c9f0f","0","1","","","[0,1]","right","[3,1]","1","false","2048.7000000476837","1","1035.0999999046326",""
"","","","","","jsShapes","14","111683","0.0-3.0-0.11","665f9ff8981f9a2e65a2cccc","6615c429a31a4c09456fec9d","665fa6c6de2c89d3d93c9f0f","0","1","","","[2,4]","right","[3,1]","1","false","4967","0.9722222222222222","1284.5",""
"","","","","","jsShapes","15","115067","0.0-3.0-0.12","665f9ff8981f9a2e65a2cccc","6615c429a31a4c09456fec9d","665fa6c6de2c89d3d93c9f0f","0","1","","","[0,1]","left","[3,0]","1","false","2196.5999999046326","0.9944444444444445","1169.7999999523163",""
"","","","","","jsShapes","16","119133","0.0-3.0-0.13","665f9ff8981f9a2e65a2cccc","6615c429a31a4c09456fec9d","665fa6c6de2c89d3d93c9f0f","0","1","","","[2,3]","right","[1,4]","0","false","2711.9000000953674","0.9888888888888889","1342.7000000476837",""
"","","","","","jsShapes","17","122249","0.0-3.0-0.14","665f9ff8981f9a2e65a2cccc","6615c429a31a4c09456fec9d","665fa6c6de2c89d3d93c9f0f","0","1","","","[1,3]","left","[2,0]","1","false","2013","1","1096.7999999523163",""
"","","","","","jsShapes","18","126299","0.0-3.0-0.15","665f9ff8981f9a2e65a2cccc","6615c429a31a4c09456fec9d","665fa6c6de2c89d3d93c9f0f","0","1","","","[0,1]","right","[3,1]","1","false","3004.2000000476837","1","1042.2999999523163",""
"","","","","","instructions","19","133848","0.0-4.0","665f9ff8981f9a2e65a2cccc","6615c429a31a4c09456fec9d","665fa6c6de2c89d3d93c9f0f","0","1","7548","[{""page_index"":0,""viewing_time"":7548}]","","","","","","","","",""
"","","","","","survey-multi-choice","20","139304","0.0-5.0-1.0-0.0","665f9ff8981f9a2e65a2cccc","6615c429a31a4c09456fec9d","665fa6c6de2c89d3d93c9f0f","0","1","5455","","","","","{""multichoice_rare_shape"":""2. Much less likely than all other shapes.""}","","","","","[0]"
"","","","","","instructions","21","143559","0.0-6.0","665f9ff8981f9a2e65a2cccc","6615c429a31a4c09456fec9d","665fa6c6de2c89d3d93c9f0f","0","1","4254","[{""page_index"":0,""viewing_time"":4254}]","","","","","","","","",""
"","","","","","jsShapes","22","151565","0.0-7.0-0.0","665f9ff8981f9a2e65a2cccc","6615c429a31a4c09456fec9d","665fa6c6de2c89d3d93c9f0f","0","1","","","[3,4]","left","[5,0]","0","true","6209.200000047684","1","1792.4000000953674",""
"","","","","","survey-text","23","153699","0.0-8.0","665f9ff8981f9a2e65a2cccc","6615c429a31a4c09456fec9d","665fa6c6de2c89d3d93c9f0f","0","1","2131","","","","","{""worker_comments"":""""}","","","","",""
"","","","","","instructions","24","156942","0.0-9.0","665f9ff8981f9a2e65a2cccc","6615c429a31a4c09456fec9d","665fa6c6de2c89d3d93c9f0f","0","1","3242","[{""page_index"":0,""viewing_time"":3242}]","","","","","","","","",""
"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","STUDY_ID","PROLIFIC_PID","SESSION_ID","practice_rare_shape_loops","comprehension_visits","rt","view_history","shapes","occluder","options","response","rare_option","RT","confidence","confidence_RT","question_order"
"true","false","[]","[]","[]","preload","0","126","0.0-0.0","665f9ff8981f9a2e65a2cccc","6638d78013ef827d3f189301","665fa16337fcbd1a76ca3c5d","0","1","","","","","","","","","","",""
"true","","","","","fullscreen","1","6428","0.0-1.0","665f9ff8981f9a2e65a2cccc","6638d78013ef827d3f189301","665fa16337fcbd1a76ca3c5d","0","1","5297","","","","","","","","","",""
"","","","","","instructions","2","52088","0.0-2.0","665f9ff8981f9a2e65a2cccc","6638d78013ef827d3f189301","665fa16337fcbd1a76ca3c5d","0","1","45659","[{""page_index"":0,""viewing_time"":7276},{""page_index"":1,""viewing_time"":23536},{""page_index"":2,""viewing_time"":10078},{""page_index"":3,""viewing_time"":2464},{""page_index"":4,""viewing_time"":2304}]","","","","","","","","",""
"","","","","","jsShapes","3","69457","0.0-3.0-0.0","665f9ff8981f9a2e65a2cccc","6638d78013ef827d3f189301","665fa16337fcbd1a76ca3c5d","0","1","","","[0,1]","right","[1,0]","0","false","12668.90000000596","1","4661.699999988079",""
"","","","","","jsShapes","4","100974","0.0-3.0-0.1","665f9ff8981f9a2e65a2cccc","6638d78013ef827d3f189301","665fa16337fcbd1a76ca3c5d","0","1","","","[0,1]","left","[1,0]","1","false","30057.40000000596","1","1443.4000000059605",""
"","","","","","jsShapes","5","128674","0.0-3.0-0.2","665f9ff8981f9a2e65a2cccc","6638d78013ef827d3f189301","665fa16337fcbd1a76ca3c5d","0","1","","","[2,2]","right","[0,1]","0","false","25754.59999999404","0","1926.5",""
"","","","","","jsShapes","6","139807","0.0-3.0-0.3","665f9ff8981f9a2e65a2cccc","6638d78013ef827d3f189301","665fa16337fcbd1a76ca3c5d","0","1","","","[2,3]","left","[0,2]","1","false","10032.799999982119","0","1088.300000011921",""
"","","","","","jsShapes","7","151141","0.0-3.0-0.4","665f9ff8981f9a2e65a2cccc","6638d78013ef827d3f189301","665fa16337fcbd1a76ca3c5d","0","1","","","[4,0]","right","[1,2]","1","false","10318.699999988079","0","1007.5",""
"","","","","","jsShapes","8","158574","0.0-3.0-0.5","665f9ff8981f9a2e65a2cccc","6638d78013ef827d3f189301","665fa16337fcbd1a76ca3c5d","0","1","","","[0,1]","left","[0,3]","1","false","6452.9000000059605","0","965.3000000119209",""
"","","","","","jsShapes","9","165924","0.0-3.0-0.6","665f9ff8981f9a2e65a2cccc","6638d78013ef827d3f189301","665fa16337fcbd1a76ca3c5d","0","1","","","[0,1]","right","[1,0]","0","false","5603.0999999940395","1","1739.6000000238419",""
"","","","","","jsShapes","10","178342","0.0-3.0-0.7","665f9ff8981f9a2e65a2cccc","6638d78013ef827d3f189301","665fa16337fcbd1a76ca3c5d","0","1","","","[2,2]","left","[3,0]","0","false","11460.800000011921","0","952.0999999940395",""
"","","","","","jsShapes","11","186158","0.0-3.0-0.8","665f9ff8981f9a2e65a2cccc","6638d78013ef827d3f189301","665fa16337fcbd1a76ca3c5d","0","1","","","[3,4]","left","[0,3]","0","false","6806","0","997.1999999880791",""
"","","","","","jsShapes","12","192508","0.0-3.0-0.9","665f9ff8981f9a2e65a2cccc","6638d78013ef827d3f189301","665fa16337fcbd1a76ca3c5d","0","1","","","[0,1]","right","[1,0]","0","false","5345.5999999940395","1","994.2000000178814",""
"","","","","","jsShapes","13","197625","0.0-3.0-0.10","665f9ff8981f9a2e65a2cccc","6638d78013ef827d3f189301","665fa16337fcbd1a76ca3c5d","0","1","","","[4,3]","right","[3,1]","0","false","4171.300000011921","0","940.9000000059605",""
"","","","","","jsShapes","14","204292","0.0-3.0-0.11","665f9ff8981f9a2e65a2cccc","6638d78013ef827d3f189301","665fa16337fcbd1a76ca3c5d","0","1","","","[0,1]","left","[0,4]","0","false","5737.5","1","917.2999999821186",""
"","","","","","jsShapes","15","211242","0.0-3.0-0.12","665f9ff8981f9a2e65a2cccc","6638d78013ef827d3f189301","665fa16337fcbd1a76ca3c5d","0","1","","","[0,1]","left","[0,2]","0","false","5932.9000000059605","1","1008.5",""
"","","","","","jsShapes","16","217742","0.0-3.0-0.13","665f9ff8981f9a2e65a2cccc","6638d78013ef827d3f189301","665fa16337fcbd1a76ca3c5d","0","1","","","[1,0]","left","[0,2]","1","false","5442.200000017881","0","1051.699999988079",""
"","","","","","jsShapes","17","231142","0.0-3.0-0.14","665f9ff8981f9a2e65a2cccc","6638d78013ef827d3f189301","665fa16337fcbd1a76ca3c5d","0","1","","","[4,4]","right","[0,1]","0","false","11123.300000011921","0.1444444444444445","2265.9000000059605",""
"","","","","","jsShapes","18","237709","0.0-3.0-0.15","665f9ff8981f9a2e65a2cccc","6638d78013ef827d3f189301","665fa16337fcbd1a76ca3c5d","0","1","","","[0,1]","right","[1,0]","0","false","5711.799999982119","1","839.8000000119209",""
"","","","","","instructions","19","250033","0.0-4.0","665f9ff8981f9a2e65a2cccc","6638d78013ef827d3f189301","665fa16337fcbd1a76ca3c5d","0","1","12323","[{""page_index"":0,""viewing_time"":12323}]","","","","","","","","",""
"","","","","","survey-multi-choice","20","260330","0.0-5.0-1.0-0.0","665f9ff8981f9a2e65a2cccc","6638d78013ef827d3f189301","665fa16337fcbd1a76ca3c5d","0","1","10295","","","","","{""multichoice_rare_shape"":""2. Much less likely than all other shapes.""}","","","","","[0]"
"","","","","","instructions","21","267478","0.0-6.0","665f9ff8981f9a2e65a2cccc","6638d78013ef827d3f189301","665fa16337fcbd1a76ca3c5d","0","1","7147","[{""page_index"":0,""viewing_time"":7146}]","","","","","","","","",""
"","","","","","jsShapes","22","282659","0.0-7.0-0.0","665f9ff8981f9a2e65a2cccc","6638d78013ef827d3f189301","665fa16337fcbd1a76ca3c5d","0","1","","","[2,4]","left","[5,0]","1","true","13351.100000023842","0","1818.0999999940395",""
"","","","","","survey-text","23","332713","0.0-8.0","665f9ff8981f9a2e65a2cccc","6638d78013ef827d3f189301","665fa16337fcbd1a76ca3c5d","0","1","50052","","","","","{""worker_comments"":""Other then following the rule i was not sure about the answers given, I was thinking of the first shapes that was displayed but did not remember them by heart""}","","","","",""
"","","","","","instructions","24","335281","0.0-9.0","665f9ff8981f9a2e65a2cccc","6638d78013ef827d3f189301","665fa16337fcbd1a76ca3c5d","0","1","2568","[{""page_index"":0,""viewing_time"":2568}]","","","","","","","","",""
"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","STUDY_ID","PROLIFIC_PID","SESSION_ID","practice_rare_shape_loops","comprehension_visits","rt","view_history","shapes","occluder","options","response","rare_option","RT","confidence","confidence_RT","question_order"
"true","false","[]","[]","[]","preload","0","210","0.0-0.0","665f9ff8981f9a2e65a2cccc","5934fb0a67011200014d3a50","665fb45cd638be37ca01be7b","0","1","","","","","","","","","","",""
"true","","","","","fullscreen","1","5627","0.0-1.0","665f9ff8981f9a2e65a2cccc","5934fb0a67011200014d3a50","665fb45cd638be37ca01be7b","0","1","4414","","","","","","","","","",""
"","","","","","instructions","2","38992","0.0-2.0","665f9ff8981f9a2e65a2cccc","5934fb0a67011200014d3a50","665fb45cd638be37ca01be7b","0","1","33364","[{""page_index"":0,""viewing_time"":2989},{""page_index"":1,""viewing_time"":21136},{""page_index"":2,""viewing_time"":6681},{""page_index"":3,""viewing_time"":1708},{""page_index"":4,""viewing_time"":850}]","","","","","","","","",""
"","","","","","jsShapes","3","52219","0.0-3.0-0.0","665f9ff8981f9a2e65a2cccc","5934fb0a67011200014d3a50","665fb45cd638be37ca01be7b","0","1","","","[0,1]","right","[1,2]","0","false","9369.099999904633","0","3834.2999999523163",""
"","","","","","jsShapes","4","58752","0.0-3.0-0.1","665f9ff8981f9a2e65a2cccc","5934fb0a67011200014d3a50","665fb45cd638be37ca01be7b","0","1","","","[4,4]","left","[2,0]","1","false","4270.299999952316","0","2251.2000000476837",""
"","","","","","jsShapes","5","68402","0.0-3.0-0.2","665f9ff8981f9a2e65a2cccc","5934fb0a67011200014d3a50","665fb45cd638be37ca01be7b","0","1","","","[0,1]","left","[0,4]","0","false","8371.599999904633","1","1262",""
